STNAM,LEANM,Math Sum Total,Math Sum Pct Prof,Math ECD Total,Math ECD Pct Prof,Math Pct ECD,Read Sum Total,Read Sum Pct Prof,Read ECD Total,Read ECD Pct Prof,Read Pct ECD,TotPop_x,KidPop_x,ChildPov_x,TotPop_y,KidPop_y,ChildPov_y
MI,Pickford Public Schools,225.0,28,114.0,30-34,51.0,223.0,39,112.0,35-39,50.0,"2,243",357,51,"2,243",357,51
MI,Pinckney Community Schools,1273.0,44,269.0,25-29,21.0,1274.0,55,269.0,35-39,21.0,"27,669","4,276",187,"27,669","4,276",187
MI,Pinconning Area Schools,717.0,39,400.0,33,56.0,717.0,46,400.0,39,56.0,"11,423","1,642",209,"11,423","1,642",209
MI,Pine River Area Schools,568.0,31,327.0,22,58.0,565.0,42,326.0,29,58.0,"7,655","1,243",233,"7,655","1,243",233
MI,Pittsford Area Schools,225.0,22,147.0,15-19,65.0,225.0,36,147.0,25-29,65.0,"3,342",518,82,"3,342",518,82
MI,Plainwell Community Schools,1488.0,48,547.0,34,37.0,1488.0,58,547.0,44,37.0,"16,328","2,864",208,"16,328","2,864",208
MI,Plymouth-Canton Community Schools,9020.0,63,1935.0,38,21.0,8997.0,67,1930.0,45,21.0,"116,595","20,707",998,"116,595","20,707",998
MI,Pontiac City School District,2117.0,13,1754.0,13,83.0,2097.0,20,1743.0,19,83.0,"80,902","11,523","3,129","80,902","11,523","3,129"
MI,Port Huron Area School District,4320.0,28,2516.0,19,58.0,4318.0,39,2514.0,28,58.0,"67,091","10,031","2,409","67,091","10,031","2,409"
MI,Houghton-Portage Township School District,721.0,64,217.0,45-49,30.0,716.0,67,213.0,50-54,30.0,,,,,,
MI,Portage Public Schools,4541.0,57,1221.0,33,27.0,4531.0,65,1220.0,43,27.0,"54,749","9,734",607,"54,749","9,734",607
MI,Portland Public Schools,1043.0,39,378.0,29,36.0,1042.0,58,377.0,45,36.0,,,,,,
MI,Posen Consolidated School District No. 9,110.0,40-44,69.0,35-39,63.0,110.0,50-54,69.0,45-49,63.0,,,,,,
MI,Potterville Public Schools,424.0,31,184.0,20-24,43.0,420.0,44,181.0,30-34,43.0,"5,467",810,91,"5,467",810,91
MI,Powell Township Schools,25.0,21-39,19.0,21-39,76.0,25.0,40-59,19.0,21-39,76.0,875,83,7,875,83,7
MI,North Central Area Schools,187.0,40-44,106.0,30-34,57.0,187.0,60-64,106.0,50-54,57.0,"2,898",392,68,"2,898",392,68
MI,Quincy Community Schools,661.0,31,347.0,22,52.0,661.0,46,347.0,38,52.0,,,,,,
MI,Rapid River Public Schools,150.0,35-39,71.0,25-29,47.0,150.0,45-49,71.0,35-39,47.0,"2,676",349,40,"2,676",349,40
MI,Ravenna Public Schools,536.0,35,276.0,20-24,51.0,535.0,45,275.0,30-34,51.0,"6,226","1,090",111,"6,226","1,090",111
MI,Reading Community Schools,384.0,26,222.0,15-19,58.0,384.0,34,222.0,20-24,58.0,"5,089",929,164,"5,089",929,164
MI,Redford Union Schools District No. 1,1246.0,14,988.0,12,79.0,1243.0,23,989.0,21,80.0,,,,,,
MI,Reed City Area Public Schools,765.0,33,394.0,26,52.0,764.0,38,393.0,28,51.0,"10,818","1,716",299,"10,818","1,716",299
MI,Reese Public Schools,389.0,42,209.0,35-39,54.0,388.0,47,209.0,40-44,54.0,"5,190",752,91,"5,190",752,91
MI,Reeths-Puffer Schools,1933.0,37,969.0,27,50.0,1933.0,48,969.0,39,50.0,"21,696","3,833",346,"21,696","3,833",346
MI,Republic-Michigamme Schools,53.0,20-29,30.0,LE20,57.0,53.0,30-39,30.0,LE20,57.0,"1,474",167,21,"1,474",167,21
MI,Richmond Community Schools,750.0,39,262.0,25-29,35.0,749.0,50,262.0,35-39,35.0,"12,728","2,015",158,"12,728","2,015",158
MI,River Rouge School District of the City of,1121.0,10,965.0,10,86.0,1124.0,16,969.0,16,86.0,,,,,,
MI,River Valley School District,314.0,36,176.0,25-29,56.0,314.0,50,176.0,40-44,56.0,"8,941","1,177",196,"8,941","1,177",196
MI,Riverview Community School District,1490.0,36,718.0,28,48.0,1490.0,50,716.0,44,48.0,"12,437","1,715",186,"12,437","1,715",186
MI,Rochester Community School District,8122.0,69,998.0,39,12.0,8124.0,73,1000.0,48,12.0,"92,921","15,632",484,"92,921","15,632",484
MI,Rockford Public Schools,3989.0,64,732.0,47,18.0,3990.0,66,731.0,53,18.0,"43,157","8,947",330,"43,157","8,947",330
MI,Rogers City Area Schools,259.0,31,154.0,25-29,59.0,259.0,51,154.0,45-49,59.0,"5,064",543,106,"5,064",543,106
MI,Romeo Community Schools,2665.0,48,672.0,29,25.0,2667.0,59,673.0,41,25.0,"35,232","5,910",349,"35,232","5,910",349
MI,Romulus Community Schools,1287.0,23,1094.0,22,85.0,1287.0,30,1094.0,29,85.0,"23,825","4,381","1,145","23,825","4,381","1,145"
MI,Roseville Community Schools,2473.0,19,1629.0,15,66.0,2473.0,31,1629.0,26,66.0,"44,736","6,584","1,119","44,736","6,584","1,119"
MI,Royal Oak Schools,2632.0,51,705.0,32,27.0,2629.0,62,703.0,45,27.0,,,,,,
MI,Rudyard Area Schools,324.0,45,231.0,35-39,71.0,324.0,40,231.0,30-34,71.0,"9,517","1,073",216,"9,517","1,073",216
MI,Saginaw School District of the City of,2669.0,25,2203.0,17,83.0,2671.0,32,2205.0,25,83.0,,,,,,
MI,Saginaw Township Community Schools,2457.0,36,1255.0,20,51.0,2455.0,49,1255.0,35,51.0,"38,734","5,142",566,"38,734","5,142",566
MI,North Dickinson County Schools,145.0,45-49,65.0,35-39,45.0,145.0,50-54,65.0,35-39,45.0,"2,326",324,42,"2,326",324,42
MI,Saline Area Schools,2720.0,70,379.0,47,14.0,2720.0,72,379.0,51,14.0,"27,991","5,586",160,"27,991","5,586",160
MI,Sand Creek Community Schools,448.0,39,223.0,30-34,50.0,448.0,49,223.0,40-44,50.0,"3,625",578,51,"3,625",578,51
MI,Sandusky Community School District,538.0,49,283.0,40-44,53.0,538.0,52,283.0,40-44,53.0,"6,792","1,025",185,"6,792","1,025",185
MI,Saranac Community Schools,480.0,45,205.0,30-34,43.0,481.0,51,206.0,35-39,43.0,"6,987","1,217",97,"6,987","1,217",97
MI,Saugatuck Public Schools,414.0,59,162.0,40-44,39.0,414.0,68,162.0,50-54,39.0,"5,276",656,51,"5,276",656,51
MI,Sault Ste. Marie Area Schools,979.0,44,571.0,35,58.0,976.0,56,568.0,48,58.0,"19,720","2,806",425,"19,720","2,806",425
MI,Schoolcraft Community Schools,559.0,59,161.0,40-44,29.0,559.0,66,161.0,45-49,29.0,"5,721","1,094",67,"5,721","1,094",67
MI,Shelby Public Schools,651.0,26,488.0,20,75.0,651.0,32,488.0,27,75.0,"8,265","1,447",251,"8,265","1,447",251
MI,Shepherd Public Schools,950.0,40,463.0,32,49.0,949.0,50,462.0,41,49.0,,,,,,
MI,Sodus Township S/D #5,44.0,30-39,39.0,30-39,89.0,44.0,50-59,39.0,50-59,89.0,,,,,,
MI,South Lake Schools,819.0,21,583.0,15,71.0,817.0,38,582.0,33,71.0,"20,817","2,553",283,"20,817","2,553",283
MI,South Lyon Community Schools,4616.0,56,824.0,29,18.0,4616.0,63,825.0,40,18.0,"42,684","7,058",308,"42,684","7,058",308
MI,South Redford School District,1737.0,20,1182.0,15,68.0,1737.0,36,1181.0,29,68.0,"21,892","3,583",650,"21,892","3,583",650
MI,South Haven Public Schools,1031.0,33,637.0,25,62.0,1031.0,43,636.0,36,62.0,"13,226","2,003",346,"13,226","2,003",346
MI,Southfield Public School District,2982.0,20,1832.0,16,61.0,2978.0,36,1831.0,31,61.0,"72,291","9,530","1,276","72,291","9,530","1,276"
MI,Southgate Community School District,1765.0,29,950.0,21,54.0,1764.0,36,950.0,28,54.0,"30,162","4,166",588,"30,162","4,166",588
MI,Sparta Area Schools,1240.0,48,619.0,39,50.0,1239.0,56,618.0,49,50.0,"15,647","2,925",256,"15,647","2,925",256
MI,Spring Lake Public Schools,1282.0,77,242.0,60-64,19.0,1281.0,80,241.0,65-69,19.0,"13,499","2,487",91,"13,499","2,487",91
MI,Springport Public Schools,494.0,30,322.0,22,65.0,494.0,36,322.0,28,65.0,"5,536",915,113,"5,536",915,113
MI,St. Charles Community Schools,442.0,38,225.0,25-29,51.0,441.0,53,224.0,40-44,51.0,"6,345",989,130,"6,345",989,130
MI,Lake Shore Public Schools (Macomb),1765.0,38,884.0,29,50.0,1765.0,49,884.0,41,50.0,,,,,,
MI,St. Johns Public Schools,1509.0,44,559.0,30,37.0,1509.0,60,559.0,46,37.0,"21,078","3,611",318,"21,078","3,611",318
MI,St. Joseph Public Schools,1545.0,65,507.0,45,33.0,1541.0,72,504.0,53,33.0,"18,903","2,753",154,"18,903","2,753",154
MI,St. Louis Public Schools,553.0,23,383.0,19,69.0,548.0,44,379.0,39,69.0,"10,450","1,162",167,"10,450","1,162",167
MI,West Iron County Public Schools,444.0,36,306.0,30,69.0,444.0,45,306.0,40,69.0,"6,900",901,214,"6,900",901,214
MI,Standish-Sterling Community Schools,806.0,43,479.0,38,59.0,806.0,54,479.0,47,59.0,,,,,,
MI,Stanton Township Public Schools,114.0,55-59,70.0,55-59,61.0,114.0,50-54,70.0,45-49,61.0,"1,365",302,26,"1,365",302,26
MI,Stephenson Area Public Schools,245.0,44,147.0,35-39,60.0,245.0,52,147.0,45-49,60.0,"5,011",672,95,"5,011",672,95
MI,Stockbridge Community Schools,661.0,41,273.0,25-29,41.0,659.0,54,273.0,40-44,41.0,"10,548","1,772",158,"10,548","1,772",158
MI,Sturgis Public Schools,1645.0,24,1084.0,19,66.0,1644.0,38,1083.0,31,66.0,"16,985","3,205",509,"16,985","3,205",509
MI,Summerfield Schools,315.0,46,103.0,30-34,33.0,315.0,55,103.0,40-44,33.0,,,,,,
MI,Suttons Bay Public Schools,273.0,29,162.0,15-19,59.0,273.0,41,162.0,25-29,59.0,"5,863",756,94,"5,863",756,94
MI,Swan Valley School District,942.0,52,371.0,37,39.0,943.0,62,371.0,52,39.0,"8,712","1,293",92,"8,712","1,293",92
MI,Swartz Creek Community Schools,1892.0,32,1047.0,24,55.0,1895.0,49,1049.0,41,55.0,"23,641","3,731",513,"23,641","3,731",513
MI,Tawas Area Schools,640.0,44,334.0,34,52.0,640.0,62,334.0,52,52.0,"10,711","1,295",265,"10,711","1,295",265
MI,Taylor School District,3143.0,21,2221.0,17,71.0,3143.0,31,2221.0,26,71.0,"65,770","10,664","2,544","65,770","10,664","2,544"
MI,Tecumseh Public Schools,1440.0,39,504.0,25,35.0,1439.0,52,503.0,40,35.0,"17,904","3,126",193,"17,904","3,126",193
MI,Tekonsha Community Schools,124.0,10-14,67.0,10-14,54.0,124.0,30-34,67.0,30-34,54.0,"2,151",382,96,"2,151",382,96
MI,Thornapple Kellogg School District,1655.0,45,602.0,32,36.0,1655.0,55,602.0,39,36.0,"16,057","3,044",187,"16,057","3,044",187
MI,Three Rivers Community Schools,1336.0,36,818.0,27,61.0,1327.0,48,811.0,39,61.0,"17,820","3,010",510,"17,820","3,010",510
MI,Traverse City Area Public Schools,4740.0,48,1800.0,33,38.0,4736.0,62,1797.0,48,38.0,"85,280","12,407","1,062","85,280","12,407","1,062"
MI,Trenton Public Schools,1302.0,51,300.0,35-39,23.0,1302.0,55,300.0,35-39,23.0,"17,531","2,649",302,"17,531","2,649",302
MI,Tri County Area Schools,981.0,28,574.0,20,59.0,981.0,40,574.0,33,59.0,"13,549","2,472",337,"13,549","2,472",337
MI,Troy School District,6776.0,71,1064.0,42,16.0,6712.0,77,1054.0,55,16.0,"67,236","11,121",402,"67,236","11,121",402
MI,Ubly Community Schools,345.0,38,171.0,25-29,50.0,345.0,55,171.0,45-49,50.0,"3,848",669,70,"3,848",669,70
MI,Union City Community Schools,574.0,31,329.0,25,57.0,576.0,44,331.0,39,57.0,"5,886","1,063",184,"5,886","1,063",184
MI,Unionville-Sebewaing Area S.D.,357.0,41,161.0,25-29,45.0,357.0,47,161.0,35-39,45.0,,,,,,
MI,Utica Community Schools,14242.0,51,5698.0,36,40.0,14223.0,60,5684.0,46,40.0,"186,295","29,404","2,528","186,295","29,404","2,528"
MI,Van Buren Public Schools,2333.0,27,1444.0,20,62.0,2334.0,37,1445.0,26,62.0,"46,353","6,867",946,"46,353","6,867",946
MI,Vanderbilt Area Schools,41.0,11-19,38.0,11-19,93.0,39.0,30-39,36.0,30-39,92.0,"2,127",299,37,"2,127",299,37
MI,Vandercook Lake Public Schools,493.0,20,407.0,18,83.0,484.0,26,398.0,23,82.0,"4,840",822,165,"4,840",822,165
MI,Van Dyke Public Schools,1184.0,18,1078.0,18,91.0,1178.0,24,1072.0,23,91.0,"21,674","3,896","1,075","21,674","3,896","1,075"
MI,Vassar Public Schools,506.0,24,377.0,20,75.0,506.0,39,377.0,33,75.0,"8,639","1,450",191,"8,639","1,450",191
MI,Verona Township S/D #1F,14.0,LT50,4.0,PS,29.0,14.0,LT50,4.0,PS,29.0,,,,,,
MI,Vestaburg Community Schools,314.0,33,201.0,25-29,64.0,314.0,37,201.0,30-34,64.0,"3,946",682,110,"3,946",682,110
MI,Vicksburg Community Schools,1386.0,52,513.0,35,37.0,1385.0,60,512.0,43,37.0,"15,746","2,670",171,"15,746","2,670",171
MI,Wakefield-Marenisco School District,162.0,25-29,98.0,25-29,60.0,162.0,40-44,98.0,35-39,60.0,"3,270",274,47,"3,270",274,47
MI,Waldron Area Schools,114.0,15-19,70.0,10-14,61.0,114.0,25-29,70.0,20-24,61.0,"2,162",358,75,"2,162",358,75
MI,Walkerville Public Schools,139.0,20-24,119.0,15-19,86.0,139.0,25-29,119.0,25-29,86.0,,,,,,
MI,Walled Lake Consolidated Schools,7184.0,56,2043.0,37,28.0,7145.0,61,2038.0,43,29.0,"103,997","15,797",957,"103,997","15,797",957
MI,Warren Consolidated Schools,7278.0,32,4942.0,27,68.0,7279.0,47,4943.0,39,68.0,"118,277","15,945","2,521","118,277","15,945","2,521"
MI,Warren Woods Public Schools,1624.0,32,1012.0,26,62.0,1624.0,45,1012.0,39,62.0,"21,645","2,822",297,"21,645","2,822",297
MI,Waterford School District,4231.0,31,2591.0,24,61.0,4231.0,43,2591.0,37,61.0,"80,865","11,298","1,086","80,865","11,298","1,086"
MI,Watersmeet Township School District,78.0,20-24,57.0,11-19,73.0,78.0,30-34,57.0,20-29,73.0,"1,196",147,36,"1,196",147,36
MI,Watervliet School District,697.0,40,445.0,33,64.0,697.0,44,445.0,36,64.0,"6,424","1,046",198,"6,424","1,046",198
MI,Waverly Community Schools,1587.0,27,1007.0,22,63.0,1578.0,42,1000.0,36,63.0,"21,148","2,901",365,"21,148","2,901",365
MI,Wayland Union Schools,1549.0,56,704.0,46,45.0,1548.0,56,703.0,47,45.0,"18,747","3,510",188,"18,747","3,510",188
MI,Webberville Community Schools,272.0,32,149.0,20-24,55.0,273.0,45,150.0,35-39,55.0,"3,724",659,66,"3,724",659,66
MI,Wells Township School District,7.0,GE50,4.0,PS,57.0,7.0,GE50,4.0,PS,57.0,218,14,2,218,14,2
MI,West Bloomfield School District,2690.0,48,1010.0,29,38.0,2679.0,57,1008.0,40,38.0,"34,288","5,491",321,"34,288","5,491",321
MI,West Branch-Rose City Area Schools,1060.0,41,663.0,35,63.0,1059.0,53,662.0,47,63.0,"16,349","2,274",467,"16,349","2,274",467
MI,West Ottawa Public School District,3369.0,41,1941.0,27,58.0,3353.0,56,1927.0,42,57.0,"53,983","10,401",732,"53,983","10,401",732
MI,Western School District,1490.0,42,555.0,30,37.0,1487.0,52,554.0,39,37.0,"12,628","2,121",215,"12,628","2,121",215
MI,Westwood Heights Schools,591.0,7,551.0,7,93.0,591.0,16,551.0,17,93.0,"5,505",924,367,"5,505",924,367
MI,White Cloud Public Schools,489.0,23,378.0,20,77.0,489.0,31,378.0,29,77.0,"7,778","1,202",260,"7,778","1,202",260
MI,White Pigeon Community Schools,408.0,30,267.0,25-29,65.0,409.0,41,268.0,30-34,66.0,"6,408","1,027",144,"6,408","1,027",144
MI,Whitefish Township Schools,21.0,21-39,13.0,LT50,62.0,20.0,40-59,12.0,LT50,60.0,549,52,15,549,52,15
MI,Whiteford Agricultural School District of the Counties of Le,415.0,55,123.0,40-44,30.0,414.0,62,123.0,50-54,30.0,,,,,,
MI,Whitehall District Schools,1041.0,46,453.0,33,44.0,1042.0,58,454.0,46,44.0,,,,,,
MI,Whitmore Lake Public School District,344.0,40,151.0,25-29,44.0,344.0,49,151.0,30-34,44.0,,,,,,
MI,Whittemore-Prescott Area Schools,403.0,23,348.0,22,86.0,403.0,36,348.0,34,86.0,"7,203",982,316,"7,203",982,316
MI,Williamston Community Schools,940.0,64,216.0,40-44,23.0,939.0,70,216.0,50-54,23.0,"10,557","1,984",85,"10,557","1,984",85
MI,Wolverine Community School District,140.0,15-19,115.0,15-19,82.0,141.0,35-39,116.0,30-34,82.0,,,,,,
MI,Woodhaven-Brownstown School District,2642.0,43,1242.0,32,47.0,2637.0,56,1240.0,46,47.0,"31,179","5,225",736,"31,179","5,225",736
MI,Wyandotte School District of the City of,2336.0,33,1484.0,28,64.0,2338.0,46,1486.0,41,64.0,,,,,,
MI,Wyoming Public Schools,2194.0,24,1819.0,21,83.0,2189.0,35,1816.0,32,83.0,"38,398","5,944",772,"38,398","5,944",772
MI,Yale Public Schools,998.0,51,439.0,43,44.0,997.0,70,439.0,64,44.0,"11,022","1,940",284,"11,022","1,940",284
MI,Ypsilanti Community Schools,1593.0,19,1207.0,15,76.0,1575.0,23,1192.0,19,76.0,"60,866","7,505","1,694","60,866","7,505","1,694"
MI,Zeeland Public Schools,3227.0,55,913.0,41,28.0,3224.0,66,913.0,54,28.0,"34,351","6,996",226,"34,351","6,996",226
MI,Wexford-Missaukee ISD,29.0,21-39,22.0,21-39,76.0,28.0,40-59,22.0,40-59,79.0,,,,,,
MI,Allegan Area Educational Service Agency,38.0,30-39,28.0,21-39,74.0,40.0,50-59,29.0,40-59,72.0,,,,,,
MI,Alpena-Montmorency-Alcona ESD,15.0,GE50,13.0,GE50,87.0,15.0,GE50,13.0,GE50,87.0,,,,,,
MI,Barry ISD,11.0,GE50,7.0,GE50,64.0,11.0,GE50,7.0,GE50,64.0,,,,,,
MI,Berrien RESA,126.0,55-59,81.0,50-54,64.0,127.0,60-64,82.0,60-64,65.0,,,,,,
MI,Branch ISD,108.0,45-49,85.0,50-54,79.0,108.0,55-59,85.0,65-69,79.0,,,,,,
MI,Calhoun ISD,128.0,35-39,90.0,40-44,70.0,128.0,50-54,90.0,50-54,70.0,,,,,,
MI,Lewis Cass ISD,36.0,60-69,23.0,60-79,64.0,35.0,70-79,23.0,60-79,66.0,,,,,,
MI,Charlevoix-Emmet ISD,58.0,11-19,44.0,11-19,76.0,58.0,20-29,44.0,30-39,76.0,,,,,,
MI,Cheb-Otsego-Presque Isle ESD,27.0,40-59,13.0,GE50,48.0,27.0,GE80,13.0,GE50,48.0,,,,,,
MI,Eastern Upper Peninsula ISD,25.0,40-59,19.0,60-79,76.0,25.0,60-79,19.0,60-79,76.0,,,,,,
MI,Clare-Gladwin Regional Education Service District,22.0,60-79,16.0,GE80,73.0,22.0,60-79,16.0,60-79,73.0,,,,,,
MI,Clinton County RESA,16.0,21-39,5.0,PS,31.0,16.0,40-59,5.0,PS,31.0,,,,,,
MI,Delta-Schoolcraft ISD,29.0,21-39,21.0,21-39,72.0,29.0,40-59,21.0,40-59,72.0,,,,,,
MI,Dickinson-Iron ISD,23.0,40-59,20.0,40-59,87.0,23.0,60-79,20.0,40-59,87.0,,,,,,
MI,Eaton RESA,30.0,21-39,24.0,21-39,80.0,28.0,21-39,22.0,40-59,79.0,,,,,,
MI,Genesee ISD,250.0,58,115.0,60-64,46.0,249.0,65,114.0,60-64,46.0,,,,,,
MI,Gogebic-Ontonagon ISD,18.0,60-79,11.0,GE50,61.0,18.0,60-79,11.0,GE50,61.0,,,,,,
MI,Traverse Bay Area ISD,105.0,30-34,52.0,20-29,50.0,105.0,45-49,52.0,30-39,50.0,,,,,,
MI,Gratiot-Isabella RESD,57.0,30-39,43.0,30-39,75.0,57.0,50-59,43.0,50-59,75.0,,,,,,
MI,Hillsdale ISD,17.0,40-59,14.0,LT50,82.0,17.0,40-59,14.0,GE50,82.0,,,,,,
MI,Huron ISD,16.0,21-39,11.0,LT50,69.0,17.0,60-79,12.0,GE50,71.0,,,,,,
MI,Bay-Arenac ISD,87.0,25-29,46.0,30-39,53.0,87.0,45-49,46.0,40-49,53.0,,,,,,
MI,Copper Country ISD,41.0,60-69,32.0,60-69,78.0,35.0,60-69,28.0,60-79,80.0,,,,,,
MI,Ingham ISD,120.0,40-44,60.0,20-29,50.0,119.0,55-59,59.0,40-49,50.0,,,,,,
MI,Ionia ISD,52.0,20-29,29.0,21-39,56.0,51.0,20-29,29.0,21-39,57.0,,,,,,
MI,Iosco RESA,22.0,GE80,18.0,GE80,82.0,22.0,GE80,18.0,GE80,82.0,,,,,,
MI,Jackson ISD,111.0,35-39,76.0,35-39,68.0,111.0,50-54,76.0,45-49,68.0,,,,,,
MI,Kalamazoo RESA,151.0,50-54,99.0,50-54,66.0,149.0,60-64,99.0,60-64,66.0,,,,,,
MI,Lapeer ISD,14.0,LT50,9.0,LT50,64.0,14.0,GE50,9.0,GE50,64.0,,,,,,
MI,Lenawee ISD,75.0,35-39,40.0,20-29,53.0,75.0,50-54,40.0,40-49,53.0,,,,,,
MI,Livingston ESA,35.0,60-69,16.0,60-79,46.0,35.0,60-69,16.0,60-79,46.0,,,,,,
MI,Macomb ISD,541.0,40,320.0,38,59.0,542.0,47,321.0,47,59.0,,,,,,
MI,Manistee ISD,22.0,21-39,21.0,21-39,95.0,21.0,40-59,20.0,60-79,95.0,,,,,,
MI,Marquette-Alger RESA,8.0,LT50,8.0,LT50,100.0,8.0,LT50,8.0,LT50,100.0,,,,,,
MI,West Shore Educational Service District,44.0,40-49,35.0,40-49,80.0,43.0,60-69,34.0,60-69,79.0,,,,,,
MI,Mecosta-Osceola ISD,73.0,30-34,49.0,20-29,67.0,72.0,40-44,48.0,30-39,67.0,,,,,,
MI,Menominee ISD,3.0,PS,2.0,PS,67.0,3.0,PS,2.0,PS,67.0,,,,,,
MI,Midland County Educational Service Agency,51.0,40-49,29.0,40-59,57.0,49.0,50-59,29.0,40-59,59.0,,,,,,
MI,Monroe ISD,126.0,65-69,39.0,60-69,31.0,126.0,85-89,39.0,70-79,31.0,,,,,,
MI,Montcalm Area ISD,114.0,40-44,77.0,30-34,68.0,115.0,50-54,77.0,45-49,67.0,,,,,,
MI,Muskegon Area ISD,41.0,40-49,30.0,21-39,73.0,41.0,50-59,30.0,60-79,73.0,,,,,,
MI,Newaygo County RESA,4.0,PS,1.0,PS,25.0,4.0,PS,1.0,PS,25.0,,,,,,
MI,Oakland Schools,582.0,75,112.0,40-44,19.0,582.0,81,112.0,55-59,19.0,,,,,,
MI,Ottawa Area ISD,75.0,30-34,39.0,30-39,52.0,73.0,40-44,37.0,30-39,51.0,,,,,,
MI,C.O.O.R. ISD,25.0,40-59,12.0,GE50,48.0,25.0,40-59,12.0,GE50,48.0,,,,,,
MI,Saginaw ISD,161.0,55-59,105.0,50-54,65.0,161.0,65-69,105.0,60-64,65.0,,,,,,
MI,St. Clair County RESA,45.0,40-49,28.0,21-39,62.0,45.0,60-69,28.0,60-79,62.0,,,,,,
MI,St. Joseph County ISD,29.0,21-39,21.0,21-39,72.0,28.0,40-59,20.0,40-59,71.0,,,,,,
MI,Sanilac ISD,26.0,60-79,17.0,60-79,65.0,26.0,60-79,17.0,60-79,65.0,,,,,,
MI,Shiawassee Regional ESD,88.0,45-49,63.0,45-49,72.0,89.0,55-59,64.0,55-59,72.0,,,,,,
MI,Tuscola ISD,79.0,30-34,70.0,35-39,89.0,79.0,50-54,70.0,50-54,89.0,,,,,,
MI,Van Buren ISD,99.0,35-39,65.0,40-44,66.0,95.0,50-54,64.0,45-49,67.0,,,,,,
MI,Washtenaw ISD,359.0,54,105.0,20-24,29.0,356.0,77,103.0,50-54,29.0,,,,,,
MN,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,297.0,46,162.0,30-34,55.0,299.0,63,164.0,55-59,55.0,,,,,,
MN,UNITED SOUTH CENTRAL SCHOOL DIST.,355.0,56,164.0,45-49,46.0,367.0,61,173.0,50-54,47.0,,,,,,
MN,MAPLE RIVER SCHOOL DISTRICT,480.0,67,144.0,55-59,30.0,467.0,67,146.0,55-59,31.0,,,,,,
MN,KINGSLAND PUBLIC SCHOOL DISTRICT,284.0,48,85.0,30-34,30.0,284.0,62,78.0,50-54,27.0,,,,,,
MN,ST. LOUIS COUNTY SCHOOL DISTRICT,1026.0,41,476.0,34,46.0,1053.0,55,514.0,48,49.0,,,,,,
MN,WATERVILLE-ELYSIAN-MORRISTOWN,445.0,62,168.0,50-54,38.0,449.0,66,174.0,60-64,39.0,,,,,,
MN,FRESHWATER ED. DIST.,57.0,LE10,43.0,LE10,75.0,53.0,20-29,38.0,20-29,72.0,,,,,,
MN,ST. CROIX RIVER EDUCATION DISTRICT,26.0,LE20,19.0,LE20,73.0,30.0,LE20,24.0,LE20,80.0,,,,,,
MN,RUNESTONE AREA ED. DISTRICT,15.0,LT50,10.0,LT50,67.0,14.0,LT50,9.0,LT50,64.0,,,,,,
MN,CHISAGO LAKES SCHOOL DISTRICT,1845.0,63,373.0,45,20.0,1875.0,66,391.0,47,21.0,,,,,,
MN,MINNEWASKA SCHOOL DISTRICT,678.0,61,205.0,40-44,30.0,698.0,61,217.0,45-49,31.0,,,,,,
MN,EVELETH-GILBERT SCHOOL DISTRICT,499.0,50,182.0,40-44,36.0,506.0,61,186.0,55-59,37.0,,,,,,
MN,WADENA-DEER CREEK SCHOOL DISTRICT,532.0,48,273.0,35-39,51.0,526.0,56,273.0,45-49,52.0,,,,,,
MN,BUFFALO LK-HECTOR-STEWART PUBLIC SC,273.0,58,97.0,50-54,36.0,272.0,64,103.0,50-54,38.0,,,,,,
MN,WARREN-ALVARADO-OSLO SCHOOL DIST.,245.0,57,110.0,45-49,45.0,250.0,53,117.0,40-44,47.0,,,,,,
MN,INTERMEDIATE SCHOOL DISTRICT 287,130.0,10-14,64.0,10-14,49.0,116.0,25-29,65.0,20-24,56.0,,,,,,
MN,INTERMEDIATE SCHOOL DISTRICT 917,242.0,11,104.0,6-9,43.0,200.0,20-24,86.0,6-9,43.0,,,,,,
MN,CEDAR RIVERSIDE COMMUNITY SCHOOL,77.0,15-19,77.0,15-19,100.0,77.0,30-34,77.0,30-34,100.0,,,,,,
MN,METRO DEAF SCHOOL,48.0,11-19,30.0,LE20,62.0,47.0,11-19,30.0,LE20,64.0,,,,,,
MN,WRIGHT TECHNICAL CENTER,23.0,LE20,11.0,LT50,48.0,7.0,LT50,3.0,PS,43.0,,,,,,
MN,Lake Agassiz Education Cooperative,8.0,LT50,5.0,PS,62.0,7.0,LT50,5.0,PS,71.0,,,,,,
MN,FERGUS FALLS AREA SP. ED. COOP.,12.0,LT50,11.0,LT50,92.0,11.0,LT50,10.0,LT50,91.0,,,,,,
MN,MEEKER AND WRIGHT SPECIAL EDUCATION,54.0,11-19,45.0,11-19,83.0,56.0,20-29,50.0,11-19,89.0,,,,,,
MN,SOUTHERN PLAINS EDUCATION COOP.,33.0,11-19,24.0,LE20,73.0,23.0,21-39,17.0,21-39,74.0,,,,,,
MN,ZUMBRO EDUCATION DISTRICT,51.0,LE10,36.0,11-19,71.0,41.0,20-29,30.0,21-39,73.0,,,,,,
MN,HIAWATHA VALLEY ED. DISTRICT,17.0,LE20,10.0,LT50,59.0,15.0,LT50,10.0,LT50,67.0,,,,,,
