STNAM,LEANM,Math Sum Total,Math Sum Pct Prof,Math ECD Total,Math ECD Pct Prof,Math Pct ECD,Read Sum Total,Read Sum Pct Prof,Read ECD Total,Read ECD Pct Prof,Read Pct ECD,TotPop_x,KidPop_x,ChildPov_x,TotPop_y,KidPop_y,ChildPov_y
AL,Eufaula City,3111.0,23,1904.0,18,61.0,3107.0,34,1907.0,26,61.0,,,,,,
AL,Fairfield City,812.0,20,640.0,19,79.0,813.0,19,641.0,18,79.0,,,,,,
AL,Fayette County,1177.0,42,727.0,34,62.0,1177.0,45,727.0,36,62.0,,,,,,
AL,Florence City,2210.0,56,958.0,40,43.0,2200.0,48,956.0,30,43.0,,,,,,
AL,Fort Payne City,1792.0,46,1175.0,36,66.0,1781.0,43,1165.0,31,65.0,,,,,,
AL,Franklin County,1888.0,38,622.0,32,33.0,1882.0,37,623.0,32,33.0,,,,,,
AL,Gadsden City,2561.0,42,1878.0,32,73.0,2551.0,41,1870.0,30,73.0,,,,,,
AL,Geneva City,676.0,53,363.0,41,54.0,675.0,50,363.0,40,54.0,,,,,,
AL,Geneva County,1375.0,54,933.0,49,68.0,1370.0,47,928.0,42,68.0,,,,,,
AL,Greene County,527.0,20,385.0,18,73.0,529.0,17,385.0,14,73.0,,,,,,
AL,Guntersville City,998.0,56,472.0,43,47.0,996.0,54,470.0,37,47.0,,,,,,
AL,Hale County,1256.0,32,981.0,27,78.0,1257.0,34,982.0,27,78.0,,,,,,
AL,Haleyville City,856.0,47,533.0,38,62.0,850.0,37,527.0,28,62.0,,,,,,
AL,Hartselle City,1721.0,66,452.0,44,26.0,1724.0,65,454.0,47,26.0,,,,,,
AL,Henry County,1346.0,36,790.0,26,59.0,1349.0,42,792.0,30,59.0,,,,,,
AL,Homewood City,2328.0,75,602.0,50,26.0,2323.0,68,598.0,36,26.0,,,,,,
AL,Houston County,3415.0,58,2055.0,50,60.0,3404.0,50,2044.0,41,60.0,,,,,,
AL,Huntsville City,12345.0,44,5039.0,26,41.0,12302.0,46,5033.0,26,41.0,,,,,,
AL,Jackson County,2721.0,49,1291.0,40,47.0,2720.0,46,1289.0,40,47.0,,,,,,
AL,Jacksonville City,852.0,60,451.0,46,53.0,853.0,59,452.0,46,53.0,,,,,,
AL,Jasper City,1438.0,50,751.0,36,52.0,1426.0,52,740.0,38,52.0,,,,,,
AL,Jefferson County,19482.0,33,12422.0,24,64.0,19443.0,37,12385.0,27,64.0,,,,,,
AL,Lamar County,1206.0,49,767.0,41,64.0,1205.0,43,766.0,34,64.0,,,,,,
AL,Lanett City,443.0,24,412.0,24,93.0,444.0,23,415.0,22,93.0,,,,,,
AL,Lauderdale County,4283.0,54,2064.0,44,48.0,4284.0,53,2066.0,43,48.0,,,,,,
AL,Lawrence County,2409.0,39,1340.0,30,56.0,2409.0,42,1340.0,33,56.0,,,,,,
AL,Lee County,5060.0,50,2859.0,41,57.0,5048.0,47,2850.0,37,56.0,,,,,,
AL,Limestone County,5667.0,44,3066.0,34,54.0,5664.0,47,3062.0,36,54.0,,,,,,
AL,Linden City,240.0,21,166.0,20-24,69.0,240.0,19,166.0,15-19,69.0,,,,,,
AL,Lowndes County,752.0,22,570.0,19,76.0,755.0,21,571.0,18,76.0,,,,,,
AL,Macon County,1000.0,20,689.0,17,69.0,1004.0,25,690.0,22,69.0,,,,,,
AL,Madison County,10108.0,59,3986.0,46,39.0,10104.0,57,3985.0,42,39.0,,,,,,
AL,Marengo County,537.0,50,412.0,41,77.0,538.0,44,413.0,35,77.0,,,,,,
AL,Marion County,1733.0,49,1085.0,44,63.0,1732.0,48,1085.0,42,63.0,,,,,,
AL,Midfield City,533.0,20,418.0,18,78.0,534.0,19,419.0,16,78.0,,,,,,
AL,Mobile County,28211.0,43,15978.0,33,57.0,28254.0,39,16012.0,29,57.0,,,,,,
AL,Monroe County,1792.0,31,1336.0,26,75.0,1792.0,33,1336.0,26,75.0,,,,,,
AL,Montgomery County,15245.0,30,9232.0,20,61.0,15250.0,32,9227.0,21,61.0,,,,,,
AL,Morgan County,4011.0,47,2169.0,38,54.0,4009.0,46,2167.0,35,54.0,,,,,,
AL,Mountain Brook City,2272.0,89,7.0,GE50,0.0,2272.0,83,7.0,LT50,0.0,,,,,,
AL,Muscle Shoals City,1521.0,70,514.0,55,34.0,1521.0,61,514.0,43,34.0,,,,,,
AL,Oneonta City,823.0,61,368.0,47,45.0,823.0,54,368.0,37,45.0,,,,,,
AL,Opelika City,2460.0,52,1672.0,41,68.0,2440.0,44,1655.0,32,68.0,,,,,,
AL,Opp City,698.0,45,416.0,34,60.0,698.0,45,416.0,34,60.0,,,,,,
AL,Oxford City,2194.0,52,1284.0,43,59.0,2199.0,50,1288.0,39,59.0,,,,,,
AL,Ozark City,1078.0,35,791.0,27,73.0,1078.0,35,791.0,26,73.0,,,,,,
AL,Pell City,2090.0,47,1103.0,36,53.0,2092.0,48,1104.0,38,53.0,,,,,,
AL,Perry County,655.0,23,506.0,21,77.0,656.0,24,505.0,22,77.0,,,,,,
AL,Phenix City,3776.0,46,2499.0,38,66.0,3767.0,45,2500.0,36,66.0,,,,,,
AL,Pickens County,1341.0,26,976.0,20,73.0,1342.0,38,976.0,30,73.0,,,,,,
AL,Piedmont City,592.0,54,352.0,44,59.0,592.0,51,352.0,43,59.0,,,,,,
AL,Pike County,1191.0,44,699.0,40,59.0,1190.0,39,698.0,32,59.0,,,,,,
AL,Randolph County,1158.0,36,806.0,30,70.0,1156.0,37,804.0,32,70.0,,,,,,
AL,Roanoke City,776.0,35,381.0,25,49.0,776.0,35,381.0,23,49.0,,,,,,
AL,Russell County,1837.0,46,1105.0,39,60.0,1834.0,44,1102.0,37,60.0,,,,,,
AL,Russellville City,1259.0,45,447.0,33,36.0,1241.0,37,446.0,26,36.0,,,,,,
AL,Scottsboro City,1302.0,53,655.0,42,50.0,1297.0,57,649.0,44,50.0,,,,,,
AL,Selma City,1618.0,26,1285.0,23,79.0,1619.0,25,1286.0,21,79.0,,,,,,
AL,Sheffield City,561.0,42,322.0,37,57.0,560.0,35,322.0,30,57.0,,,,,,
AL,Shelby County,11229.0,58,3805.0,39,34.0,11218.0,56,3795.0,37,34.0,,,,,,
AL,St Clair County,4796.0,55,2247.0,41,47.0,4796.0,52,2247.0,40,47.0,,,,,,
AL,Sumter County,680.0,21,484.0,19,71.0,681.0,21,485.0,19,71.0,,,,,,
AL,Sylacauga City,1116.0,45,658.0,33,59.0,1116.0,41,658.0,28,59.0,,,,,,
AL,Talladega City,1007.0,26,864.0,24,86.0,1008.0,29,865.0,25,86.0,,,,,,
AL,Talladega County,3964.0,39,2798.0,33,71.0,3966.0,41,2800.0,34,71.0,,,,,,
AL,Tallapoosa County,1453.0,38,913.0,29,63.0,1453.0,38,913.0,31,63.0,,,,,,
AL,Tallassee City,922.0,45,541.0,33,59.0,922.0,41,541.0,30,59.0,,,,,,
AL,Tarrant City,633.0,18,370.0,18,58.0,618.0,19,370.0,19,60.0,,,,,,
AL,Thomasville City,616.0,29,438.0,24,71.0,616.0,39,438.0,31,71.0,,,,,,
AL,Troy City,967.0,47,610.0,38,63.0,967.0,39,611.0,26,63.0,,,,,,
AL,Tuscaloosa City,5368.0,43,2539.0,25,47.0,5345.0,41,2537.0,24,47.0,,,,,,
AL,Tuscaloosa County,9820.0,45,4953.0,33,50.0,9786.0,43,4932.0,30,50.0,,,,,,
AL,Tuscumbia City,799.0,42,474.0,31,59.0,799.0,48,474.0,37,59.0,,,,,,
AL,Vestavia Hills City,3855.0,82,288.0,45-49,7.0,3851.0,79,289.0,45-49,8.0,,,,,,
